"Number of degrees in university education on bachelor and masters level, degree, gender, age and academic year"

"university","degree","gender","age","1977/78","1978/79","1979/80","1980/81","1981/82","1982/83","1983/84","1984/85","1985/86","1986/87","1987/88","1988/89","1989/90","1990/91","1991/92","1992/93","1993/94","1994/95","1995/96","1996/97","1997/98","1998/99","1999/00","2000/01","2001/02","2002/03","2003/04","2004/05","2005/06","2006/07","2007/08","2008/09","2009/10","2010/11","2011/12","2012/13","2013/14","2014/15","2015/16","2016/17","2017/18","2018/19"
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","0-19 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","20 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","21 years",2,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","22 years",5,8,7,11,6,6,7,10,5,5,9,5,3,0,4,0,0,6,2,2,1,4,3,1,4,2,0,0,1,4,0,1,1,2,2,0,0,2,0,0,1,1
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","23 years",64,45,46,50,26,29,35,40,37,43,43,37,31,25,19,11,17,34,55,69,72,64,53,40,40,50,43,40,50,47,39,12,7,6,21,7,30,9,10,14,11,25
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","24 years",126,117,146,196,145,159,146,110,123,117,108,94,106,68,96,76,63,97,108,147,144,163,164,152,136,96,110,152,125,121,127,59,60,62,70,73,109,83,84,87,131,144
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","25 years",66,104,100,130,127,124,123,145,102,141,113,119,126,135,116,96,85,124,108,114,123,151,138,114,158,148,154,145,178,192,143,104,102,124,152,134,124,119,124,99,133,144
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","26 years",43,55,49,64,55,77,81,82,75,99,96,111,110,104,129,131,124,142,95,73,84,73,86,77,108,85,111,104,124,116,104,101,93,137,112,82,102,98,77,95,78,97
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","27 years",31,22,28,32,29,42,29,49,39,46,60,64,72,54,79,88,86,110,75,70,57,49,40,38,55,46,70,66,59,59,68,61,60,84,69,55,73,43,62,46,57,62
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","28 years",16,22,13,18,27,20,20,31,22,37,37,43,35,41,39,62,41,72,54,48,48,28,33,16,33,25,31,29,33,29,32,34,36,35,35,36,30,36,32,25,16,40
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","29 years",14,10,8,16,12,10,26,17,23,18,31,29,27,27,29,28,23,39,29,36,30,34,28,15,33,14,25,26,32,18,20,18,15,21,26,16,27,27,18,12,23,16
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","30 years",5,7,10,7,7,4,7,19,17,11,14,11,20,22,17,22,12,29,25,18,23,18,28,13,13,11,14,12,18,8,11,12,5,14,12,16,14,20,15,14,7,10
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","31 years",7,3,7,9,5,9,7,4,4,9,17,8,16,9,12,9,10,17,12,12,10,13,24,8,4,12,12,11,17,11,8,7,4,10,14,8,9,8,5,4,7,12
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","32 years",4,3,1,3,5,3,5,2,8,5,4,8,6,4,9,7,5,12,10,9,9,7,11,9,6,8,11,8,13,3,2,8,2,4,1,3,5,7,6,7,3,8
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","33 years",1,3,2,6,5,4,7,3,4,4,3,7,6,7,3,9,7,7,5,11,6,6,8,11,8,4,9,3,10,6,4,4,5,3,0,1,4,11,9,2,7,5
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","34 years",4,3,1,1,3,3,0,3,1,3,1,4,5,5,2,8,2,5,5,5,5,10,9,3,9,6,8,4,5,5,3,2,2,5,3,0,3,9,3,2,7,5
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","35 years",0,2,1,2,0,1,3,2,0,4,2,3,4,3,4,3,4,7,5,3,3,3,5,1,4,5,6,5,2,7,6,1,3,5,0,0,2,5,7,1,3,1
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","36 years",1,0,0,2,1,2,0,1,1,1,2,0,1,1,2,3,0,4,4,5,2,4,3,3,5,5,2,4,4,1,1,4,2,1,3,0,3,3,3,2,1,0
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","37 years",0,0,0,0,0,4,1,0,1,1,2,1,0,0,2,2,0,3,5,2,3,5,3,3,0,3,4,3,2,5,4,3,0,1,0,3,1,5,0,1,3,1
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","38 years",1,1,1,1,1,0,2,1,1,2,0,3,1,1,0,1,1,3,3,6,1,2,2,1,3,4,2,1,6,3,1,2,1,0,0,1,4,0,1,0,1,0
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","39 years",0,0,0,0,0,1,3,0,0,1,2,0,1,0,0,0,0,0,0,1,4,2,2,2,4,3,2,2,1,3,0,2,0,2,1,0,1,1,0,1,0,0
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","40-49 years",0,2,0,0,3,2,1,4,3,4,3,1,1,3,5,2,2,2,6,2,3,5,6,9,10,8,8,6,5,10,7,6,3,9,4,1,3,11,5,0,1,3
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","50-59 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,2,0,0,0,3,2,1,0,0
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","men","60+ years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","women","0-19 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","women","20 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","women","21 years",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","women","22 years",8,0,4,4,3,3,2,4,5,7,5,6,1,3,4,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,1
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","women","23 years",9,9,16,15,15,13,12,17,23,21,33,28,27,15,21,14,17,27,33,28,35,31,33,20,21,20,21,12,10,10,20,3,4,7,4,2,3,3,2,6,5,18
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","women","24 years",8,18,13,21,17,20,26,30,15,22,29,31,32,18,37,23,29,30,37,42,37,44,45,53,67,46,58,46,66,43,36,19,17,22,29,17,35,41,37,33,38,62
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","women","25 years",6,10,6,7,8,14,10,18,18,18,19,27,32,33,23,26,15,34,20,42,30,34,41,47,53,55,51,69,91,65,57,46,37,44,44,58,61,59,60,54,57,75
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","women","26 years",2,3,2,5,3,7,6,6,10,11,16,20,11,18,22,31,18,28,15,23,16,18,18,26,35,35,33,41,71,68,46,41,45,48,53,34,51,43,36,41,45,63
"Chalmers tekniska högskola","civilingenjörsexamen/motsv","women","27 years",0,2,0,2,2,1,2,2,5,6,8,8,7,11,8,13,12,20,11,10,8,9,10,11,21,12,29,21,29,22,25,24,17,23,22,21,29,24,23,24,32,31
