produktionsslag	månad	Eltillförsel netto, GWh
vattenkraft (inkl pumpkraft), netto	1974M01	5350
vattenkraft (inkl pumpkraft), netto	1974M02	4937
vattenkraft (inkl pumpkraft), netto	1974M03	5122
vattenkraft (inkl pumpkraft), netto	1974M04	4545
vattenkraft (inkl pumpkraft), netto	1974M05	4451
vattenkraft (inkl pumpkraft), netto	1974M06	3451
vattenkraft (inkl pumpkraft), netto	1974M07	3581
vattenkraft (inkl pumpkraft), netto	1974M08	4409
vattenkraft (inkl pumpkraft), netto	1974M09	4063
vattenkraft (inkl pumpkraft), netto	1974M10	5371
vattenkraft (inkl pumpkraft), netto	1974M11	5611
vattenkraft (inkl pumpkraft), netto	1974M12	5732
vattenkraft (inkl pumpkraft), netto	1975M01	5954
vattenkraft (inkl pumpkraft), netto	1975M02	5451
vattenkraft (inkl pumpkraft), netto	1975M03	5496
vattenkraft (inkl pumpkraft), netto	1975M04	4390
vattenkraft (inkl pumpkraft), netto	1975M05	4941
vattenkraft (inkl pumpkraft), netto	1975M06	4419
vattenkraft (inkl pumpkraft), netto	1975M07	3396
vattenkraft (inkl pumpkraft), netto	1975M08	3819
vattenkraft (inkl pumpkraft), netto	1975M09	3932
vattenkraft (inkl pumpkraft), netto	1975M10	4834
vattenkraft (inkl pumpkraft), netto	1975M11	5073
vattenkraft (inkl pumpkraft), netto	1975M12	5273
vattenkraft (inkl pumpkraft), netto	1976M01	5741
vattenkraft (inkl pumpkraft), netto	1976M02	5559
vattenkraft (inkl pumpkraft), netto	1976M03	5819
vattenkraft (inkl pumpkraft), netto	1976M04	4447
vattenkraft (inkl pumpkraft), netto	1976M05	4577
vattenkraft (inkl pumpkraft), netto	1976M06	4026
vattenkraft (inkl pumpkraft), netto	1976M07	3600
vattenkraft (inkl pumpkraft), netto	1976M08	3818
vattenkraft (inkl pumpkraft), netto	1976M09	4007
vattenkraft (inkl pumpkraft), netto	1976M10	4058
vattenkraft (inkl pumpkraft), netto	1976M11	4307
vattenkraft (inkl pumpkraft), netto	1976M12	4207
vattenkraft (inkl pumpkraft), netto	1977M01	4062
vattenkraft (inkl pumpkraft), netto	1977M02	4221
vattenkraft (inkl pumpkraft), netto	1977M03	4527
vattenkraft (inkl pumpkraft), netto	1977M04	3666
vattenkraft (inkl pumpkraft), netto	1977M05	4841
vattenkraft (inkl pumpkraft), netto	1977M06	4789
vattenkraft (inkl pumpkraft), netto	1977M07	3663
vattenkraft (inkl pumpkraft), netto	1977M08	4669
vattenkraft (inkl pumpkraft), netto	1977M09	4173
vattenkraft (inkl pumpkraft), netto	1977M10	4559
vattenkraft (inkl pumpkraft), netto	1977M11	4580
vattenkraft (inkl pumpkraft), netto	1977M12	5055
vattenkraft (inkl pumpkraft), netto	1978M01	5609
vattenkraft (inkl pumpkraft), netto	1978M02	5254
vattenkraft (inkl pumpkraft), netto	1978M03	5066
vattenkraft (inkl pumpkraft), netto	1978M04	4347
vattenkraft (inkl pumpkraft), netto	1978M05	4233
vattenkraft (inkl pumpkraft), netto	1978M06	3902
vattenkraft (inkl pumpkraft), netto	1978M07	3754
vattenkraft (inkl pumpkraft), netto	1978M08	4495
vattenkraft (inkl pumpkraft), netto	1978M09	4598
vattenkraft (inkl pumpkraft), netto	1978M10	4934
vattenkraft (inkl pumpkraft), netto	1978M11	5043
vattenkraft (inkl pumpkraft), netto	1978M12	5814
vattenkraft (inkl pumpkraft), netto	1979M01	5957
vattenkraft (inkl pumpkraft), netto	1979M02	5138
vattenkraft (inkl pumpkraft), netto	1979M03	4968
vattenkraft (inkl pumpkraft), netto	1979M04	4163
vattenkraft (inkl pumpkraft), netto	1979M05	4794
vattenkraft (inkl pumpkraft), netto	1979M06	4213
vattenkraft (inkl pumpkraft), netto	1979M07	4310
vattenkraft (inkl pumpkraft), netto	1979M08	5234
vattenkraft (inkl pumpkraft), netto	1979M09	5341
vattenkraft (inkl pumpkraft), netto	1979M10	5252
vattenkraft (inkl pumpkraft), netto	1979M11	5438
vattenkraft (inkl pumpkraft), netto	1979M12	5472
vattenkraft (inkl pumpkraft), netto	1980M01	5916
vattenkraft (inkl pumpkraft), netto	1980M02	5528
vattenkraft (inkl pumpkraft), netto	1980M03	5294
vattenkraft (inkl pumpkraft), netto	1980M04	4488
vattenkraft (inkl pumpkraft), netto	1980M05	4339
vattenkraft (inkl pumpkraft), netto	1980M06	4110
vattenkraft (inkl pumpkraft), netto	1980M07	3842
vattenkraft (inkl pumpkraft), netto	1980M08	4402
vattenkraft (inkl pumpkraft), netto	1980M09	4448
vattenkraft (inkl pumpkraft), netto	1980M10	5111
vattenkraft (inkl pumpkraft), netto	1980M11	5241
vattenkraft (inkl pumpkraft), netto	1980M12	5248
vattenkraft (inkl pumpkraft), netto	1981M01	5531
vattenkraft (inkl pumpkraft), netto	1981M02	5311
vattenkraft (inkl pumpkraft), netto	1981M03	5483
vattenkraft (inkl pumpkraft), netto	1981M04	4256
vattenkraft (inkl pumpkraft), netto	1981M05	4341
vattenkraft (inkl pumpkraft), netto	1981M06	3937
vattenkraft (inkl pumpkraft), netto	1981M07	4529
vattenkraft (inkl pumpkraft), netto	1981M08	4593
vattenkraft (inkl pumpkraft), netto	1981M09	4437
vattenkraft (inkl pumpkraft), netto	1981M10	4942
vattenkraft (inkl pumpkraft), netto	1981M11	5465
vattenkraft (inkl pumpkraft), netto	1981M12	5982
vattenkraft (inkl pumpkraft), netto	1982M01	5668
vattenkraft (inkl pumpkraft), netto	1982M02	5045
vattenkraft (inkl pumpkraft), netto	1982M03	4656
vattenkraft (inkl pumpkraft), netto	1982M04	4242
vattenkraft (inkl pumpkraft), netto	1982M05	4939
vattenkraft (inkl pumpkraft), netto	1982M06	4536
vattenkraft (inkl pumpkraft), netto	1982M07	3629
vattenkraft (inkl pumpkraft), netto	1982M08	4028
vattenkraft (inkl pumpkraft), netto	1982M09	3327
vattenkraft (inkl pumpkraft), netto	1982M10	4072
vattenkraft (inkl pumpkraft), netto	1982M11	4674
vattenkraft (inkl pumpkraft), netto	1982M12	5317
vattenkraft (inkl pumpkraft), netto	1983M01	5503
vattenkraft (inkl pumpkraft), netto	1983M02	5642
vattenkraft (inkl pumpkraft), netto	1983M03	5661
vattenkraft (inkl pumpkraft), netto	1983M04	4796
vattenkraft (inkl pumpkraft), netto	1983M05	5339
vattenkraft (inkl pumpkraft), netto	1983M06	4392
vattenkraft (inkl pumpkraft), netto	1983M07	3528
vattenkraft (inkl pumpkraft), netto	1983M08	3825
vattenkraft (inkl pumpkraft), netto	1983M09	5119
vattenkraft (inkl pumpkraft), netto	1983M10	6153
vattenkraft (inkl pumpkraft), netto	1983M11	6289
